Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,
0.000000,-0.308062,,,,,,,-0.880037,,,,,,,0.213920,,,,,,,-0.078530,,,,,,,-0.059222,,,,,,,0.029867,,,,,,,0.000000,,,,,,,0.886069,,,,,,,0.317248,,,,,,,
0.100000,-0.275113,,,,,,,-0.884250,,,,,,,0.395942,,,,,,,-0.192635,,,,,,,-0.152198,,,,,,,0.212651,,,,,,,0.000000,,,,,,,0.884826,,,,,,,0.309277,,,,,,,
0.200000,-0.181299,,,,,,,-0.918560,,,,,,,0.718927,,,,,,,-0.036269,,,,,,,-0.299410,,,,,,,0.632377,,,,,,,0.000000,,,,,,,0.905224,,,,,,,0.246750,,,,,,,
0.300000,-0.142586,,,,,,,-0.895832,,,,,,,0.871165,,,,,,,0.466637,,,,,,,-0.508607,,,,,,,0.903167,,,,,,,0.000000,,,,,,,0.891838,,,,,,,0.161610,,,,,,,
0.400000,-0.045963,,,,,,,-0.801639,,,,,,,0.900146,,,,,,,1.054065,,,,,,,-0.892133,,,,,,,1.261965,,,,,,,0.000000,,,,,,,0.820927,,,,,,,0.077694,,,,,,,
0.500000,0.064491,,,,,,,-0.646959,,,,,,,0.660876,,,,,,,1.595005,,,,,,,-1.078086,,,,,,,1.525987,,,,,,,0.000000,,,,,,,0.710976,,,,,,,-0.105368,,,,,,,
0.600000,0.233528,,,,,,,-0.365753,,,,,,,0.240444,,,,,,,1.975355,,,,,,,-1.310526,,,,,,,1.891554,,,,,,,0.000000,,,,,,,0.475406,,,,,,,-0.356204,,,,,,,
0.700000,0.511146,,,,,,,-0.042173,,,,,,,-0.293639,,,,,,,2.047198,,,,,,,-1.624321,,,,,,,2.345129,,,,,,,0.000000,,,,,,,0.176224,,,,,,,-0.687554,,,,,,,
0.800000,0.932289,,,,,,,0.268016,,,,,,,-0.799917,,,,,,,1.949998,,,,,,,-1.748289,,,,,,,2.744546,,,,,,,0.000000,,,,,,,-0.173382,,,,,,,-1.092944,,,,,,,
0.900000,1.293581,,,,,,,0.537436,,,,,,,-1.473189,,,,,,,1.751371,,,,,,,-2.352634,,,,,,,2.778394,,,,,,,0.000000,,,,,,,-0.491415,,,,,,,-1.493549,,,,,,,
1.000000,1.692087,,,,,,,0.773281,,,,,,,-1.995144,,,,,,,1.366796,,,,,,,-2.003974,,,,,,,2.385748,,,,,,,0.000000,,,,,,,-0.723213,,,,,,,-1.989126,,,,,,,
1.100000,2.015644,,,,,,,0.921040,,,,,,,-2.577746,,,,,,,0.593420,,,,,,,-1.628195,,,,,,,2.257122,,,,,,,0.000000,,,,,,,-0.845611,,,,,,,-2.375485,,,,,,,
1.200000,2.268929,,,,,,,0.927895,,,,,,,-2.835896,,,,,,,-0.344775,,,,,,,-1.477109,,,,,,,2.297741,,,,,,,0.000000,,,,,,,-0.828604,,,,,,,-2.671958,,,,,,,
1.300000,2.550653,,,,,,,0.839744,,,,,,,-2.765644,,,,,,,-0.809646,,,,,,,-0.818527,,,,,,,2.175885,,,,,,,0.000000,,,,,,,-0.758640,,,,,,,-2.897086,,,,,,,
1.400000,2.617279,,,,,,,0.677699,,,,,,,-2.669569,,,,,,,-0.640602,,,,,,,-0.442749,,,,,,,1.979561,,,,,,,0.000000,,,,,,,-0.598719,,,,,,,-2.986572,,,,,,,
1.500000,2.621966,,,,,,,0.568161,,,,,,,-2.762115,,,,,,,-0.103887,,,,,,,0.041502,,,,,,,1.146879,,,,,,,0.000000,,,,,,,-0.507030,,,,,,,-2.966724,,,,,,,
1.600000,2.291181,,,,,,,0.635209,,,,,,,-2.838836,,,,,,,0.787820,,,,,,,1.660837,,,,,,,0.591758,,,,,,,0.000000,,,,,,,-0.440845,,,,,,,-2.766803,,,,,,,
1.700000,1.916945,,,,,,,0.830128,,,,,,,-2.453114,,,,,,,1.662623,,,,,,,1.901026,,,,,,,-0.125838,,,,,,,0.000000,,,,,,,-0.462512,,,,,,,-2.378266,,,,,,,
1.800000,1.439476,,,,,,,1.088623,,,,,,,-2.385343,,,,,,,1.949998,,,,,,,1.660837,,,,,,,-0.159687,,,,,,,0.000000,,,,,,,-0.615576,,,,,,,-1.846700,,,,,,,
1.900000,1.109804,,,,,,,1.374539,,,,,,,-2.112842,,,,,,,2.000711,,,,,,,1.455515,,,,,,,-0.193536,,,,,,,0.000000,,,,,,,-0.863046,,,,,,,-1.431400,,,,,,,
2.000000,0.769308,,,,,,,1.692760,,,,,,,-1.931100,,,,,,,1.975355,,,,,,,1.583357,,,,,,,-0.477866,,,,,,,0.000000,,,,,,,-1.163575,,,,,,,-1.054137,,,,,,,
2.100000,0.415282,,,,,,,2.005359,,,,,,,-1.812264,,,,,,,1.480901,,,,,,,0.913154,,,,,,,-0.532024,,,,,,,0.000000,,,,,,,-1.443850,,,,,,,-0.706339,,,,,,,
2.200000,0.235619,,,,,,,2.244183,,,,,,,-1.587415,,,,,,,0.563837,,,,,,,0.332053,,,,,,,-0.559103,,,,,,,0.000000,,,,,,,-1.676920,,,,,,,-0.482110,,,,,,,
2.300000,0.122061,,,,,,,2.361784,,,,,,,-1.041962,,,,,,,-0.408166,,,,,,,-0.601583,,,,,,,0.077255,,,,,,,0.000000,,,,,,,-1.811031,,,,,,,-0.344112,,,,,,,
2.400000,0.317059,,,,,,,2.240836,,,,,,,-0.872224,,,,,,,-1.422430,,,,,,,-2.856255,,,,,,,0.524060,,,,,,,0.000000,,,,,,,-1.798890,,,,,,,-0.431738,,,,,,,
2.500000,0.670521,,,,,,,1.909374,,,,,,,-1.025807,,,,,,,-2.250746,,,,,,,-1.934241,,,,,,,1.390591,,,,,,,0.000000,,,,,,,-1.626202,,,,,,,-0.856207,,,,,,,
2.600000,0.929751,,,,,,,1.581252,,,,,,,-1.119726,,,,,,,-1.925336,,,,,,,-1.899375,,,,,,,1.214577,,,,,,,0.000000,,,,,,,-1.406964,,,,,,,-1.202412,,,,,,,
2.700000,1.167489,,,,,,,1.339583,,,,,,,-1.350595,,,,,,,-1.392848,,,,,,,-1.992351,,,,,,,1.092721,,,,,,,0.000000,,,,,,,-1.237595,,,,,,,-1.518828,,,,,,,
2.800000,1.487933,,,,,,,1.191901,,,,,,,-1.559541,,,,,,,-0.830776,,,,,,,-1.945863,,,,,,,0.842240,,,,,,,0.000000,,,,,,,-1.178479,,,,,,,-1.852974,,,,,,,
2.900000,1.831214,,,,,,,1.151613,,,,,,,-1.815320,,,,,,,-0.251800,,,,,,,-1.670809,,,,,,,0.449593,,,,,,,0.000000,,,,,,,-1.264179,,,,,,,-2.162621,,,,,,,
3.000000,2.171158,,,,,,,1.183919,,,,,,,-1.995959,,,,,,,0.111644,,,,,,,-1.287282,,,,,,,-0.112298,,,,,,,0.000000,,,,,,,-1.414749,,,,,,,-2.367785,,,,,,,
3.100000,2.318639,,,,,,,1.244942,,,,,,,-2.137612,,,,,,,0.327175,,,,,,,-0.435001,,,,,,,-0.667420,,,,,,,0.000000,,,,,,,-1.493793,,,,,,,-2.477205,,,,,,,
3.200000,2.375043,,,,,,,1.342736,,,,,,,-1.948523,,,,,,,0.407471,,,,,,,0.413407,,,,,,,-1.249620,,,,,,,0.000000,,,,,,,-1.629125,,,,,,,-2.510557,,,,,,,
3.300000,2.289762,,,,,,,1.500930,,,,,,,-1.932976,,,,,,,0.479315,,,,,,,0.169344,,,,,,,-1.825051,,,,,,,0.000000,,,,,,,-1.761797,,,,,,,-2.407019,,,,,,,
3.400000,2.260066,,,,,,,1.647255,,,,,,,-1.918343,,,,,,,-0.158826,,,,,,,0.456021,,,,,,,-1.852130,,,,,,,0.000000,,,,,,,-1.926095,,,,,,,-2.335244,,,,,,,
3.500000,2.182693,,,,,,,1.695768,,,,,,,-1.720154,,,,,,,-0.775837,,,,,,,0.785312,,,,,,,-2.048453,,,,,,,0.000000,,,,,,,-2.004688,,,,,,,-2.234678,,,,,,,
3.600000,1.953184,,,,,,,1.625932,,,,,,,-1.527601,,,,,,,-1.291421,,,,,,,0.994508,,,,,,,-2.048453,,,,,,,0.000000,,,,,,,-1.928383,,,,,,,-2.029155,,,,,,,
3.700000,1.618703,,,,,,,1.422401,,,,,,,-1.083582,,,,,,,-1.811231,,,,,,,1.075862,,,,,,,-1.973986,,,,,,,0.000000,,,,,,,-1.662416,,,,,,,-1.709562,,,,,,,
3.800000,1.296304,,,,,,,1.120437,,,,,,,-0.789632,,,,,,,-2.073250,,,,,,,1.122350,,,,,,,-1.825051,,,,,,,0.000000,,,,,,,-1.278306,,,,,,,-1.508546,,,,,,,
3.900000,0.988355,,,,,,,0.760523,,,,,,,-0.671630,,,,,,,-2.200033,,,,,,,1.242444,,,,,,,-1.662576,,,,,,,0.000000,,,,,,,-0.879265,,,,,,,-1.271855,,,,,,,
4.000000,0.708760,,,,,,,0.412576,,,,,,,0.013634,,,,,,,-2.043667,,,,,,,1.180460,,,,,,,-1.567799,,,,,,,0.000000,,,,,,,-0.464608,,,,,,,-0.941573,,,,,,,
4.100000,0.425835,,,,,,,0.121062,,,,,,,0.164220,,,,,,,-2.018310,,,,,,,1.071988,,,,,,,-1.466253,,,,,,,0.000000,,,,,,,-0.152077,,,,,,,-0.591129,,,,,,,
4.200000,0.223328,,,,,,,-0.184450,,,,,,,0.343209,,,,,,,-1.705579,,,,,,,0.754320,,,,,,,-1.141304,,,,,,,0.000000,,,,,,,0.191223,,,,,,,-0.296616,,,,,,,
4.300000,0.065374,,,,,,,-0.446482,,,,,,,0.510884,,,,,,,-1.337908,,,,,,,0.603233,,,,,,,-0.863743,,,,,,,0.000000,,,,,,,0.482103,,,,,,,-0.064502,,,,,,,
4.400000,-0.042936,,,,,,,-0.647885,,,,,,,0.613049,,,,,,,-0.966011,,,,,,,0.548997,,,,,,,-0.735117,,,,,,,0.000000,,,,,,,0.700586,,,,,,,0.101922,,,,,,,
4.500000,-0.105315,,,,,,,-0.769195,,,,,,,0.490671,,,,,,,-0.585662,,,,,,,0.397911,,,,,,,-0.484636,,,,,,,0.000000,,,,,,,0.829595,,,,,,,0.168517,,,,,,,
4.600000,-0.176083,,,,,,,-0.847671,,,,,,,0.467199,,,,,,,-0.306740,,,,,,,0.428903,,,,,,,-0.200305,,,,,,,0.000000,,,,,,,0.903178,,,,,,,0.280771,,,,,,,
4.700000,-0.196034,,,,,,,-0.867524,,,,,,,0.577778,,,,,,,-0.023591,,,,,,,0.227455,,,,,,,-0.044601,,,,,,,0.000000,,,,,,,0.921155,,,,,,,0.332915,,,,,,,
4.800000,-0.268850,,,,,,,-0.865869,,,,,,,0.184372,,,,,,,-0.010913,,,,,,,0.246825,,,,,,,0.124644,,,,,,,0.000000,,,,,,,0.916677,,,,,,,0.385029,,,,,,,
4.900000,-0.293529,,,,,,,-0.828974,,,,,,,0.300996,,,,,,,0.158131,,,,,,,0.134478,,,,,,,0.226190,,,,,,,0.000000,,,,,,,0.868858,,,,,,,0.384748,,,,,,,
5.000000,-0.354059,,,,,,,-0.785447,,,,,,,0.376434,,,,,,,0.103192,,,,,,,0.165470,,,,,,,0.111104,,,,,,,0.000000,,,,,,,0.814483,,,,,,,0.422927,,,,,,,
0.000000,,-0.393818,,,,,,,-0.766029,,,,,,,0.358656,,,,,,,-0.078530,,,,,,,-0.070844,,,,,,,0.056946,,,,,,,0.000000,,,,,,,0.786915,,,,,,,0.414303,,,,,,
0.100000,,-0.407432,,,,,,,-0.768680,,,,,,,0.508694,,,,,,,-0.167278,,,,,,,-0.070844,,,,,,,0.165262,,,,,,,0.000000,,,,,,,0.785863,,,,,,,0.461760,,,,,,
0.200000,,-0.381610,,,,,,,-0.783274,,,,,,,0.566807,,,,,,,-0.217992,,,,,,,-0.066970,,,,,,,0.273579,,,,,,,0.000000,,,,,,,0.791900,,,,,,,0.417278,,,,,,
0.300000,,-0.302139,,,,,,,-0.782445,,,,,,,0.858328,,,,,,,0.048253,,,,,,,-0.256796,,,,,,,0.402204,,,,,,,0.000000,,,,,,,0.798345,,,,,,,0.387976,,,,,,
0.400000,,-0.256680,,,,,,,-0.764589,,,,,,,1.105527,,,,,,,0.487767,,,,,,,-0.520229,,,,,,,0.415744,,,,,,,0.000000,,,,,,,0.776709,,,,,,,0.358596,,,,,,
0.500000,,-0.172994,,,,,,,-0.670963,,,,,,,1.040560,,,,,,,1.058291,,,,,,,-0.791409,,,,,,,0.496981,,,,,,,0.000000,,,,,,,0.697303,,,,,,,0.195292,,,,,,
0.600000,,-0.056849,,,,,,,-0.521134,,,,,,,0.881874,,,,,,,1.582327,,,,,,,-1.248542,,,,,,,0.740693,,,,,,,0.000000,,,,,,,0.593606,,,,,,,0.031501,,,,,,
0.700000,,0.154114,,,,,,,-0.236808,,,,,,,0.424361,,,,,,,1.920415,,,,,,,-1.480983,,,,,,,1.099491,,,,,,,0.000000,,,,,,,0.334669,,,,,,,-0.273704,,,,,,
0.800000,,0.466826,,,,,,,0.056997,,,,,,,0.034266,,,,,,,2.102138,,,,,,,-1.794777,,,,,,,1.505677,,,,,,,0.000000,,,,,,,0.014911,,,,,,,-0.676202,,,,,,
0.900000,,0.887497,,,,,,,0.375575,,,,,,,-0.545864,,,,,,,2.195112,,,,,,,-1.849013,,,,,,,1.959252,,,,,,,0.000000,,,,,,,-0.368318,,,,,,,-1.187528,,,,,,
1.000000,,1.290884,,,,,,,0.677995,,,,,,,-1.147895,,,,,,,2.034520,,,,,,,-2.093076,,,,,,,2.358669,,,,,,,0.000000,,,,,,,-0.721860,,,,,,,-1.635703,,,,,,
1.100000,,1.752984,,,,,,,0.843648,,,,,,,-1.725618,,,,,,,1.472449,,,,,,,-1.864509,,,,,,,2.500834,,,,,,,0.000000,,,,,,,-0.887823,,,,,,,-2.230329,,,,,,
1.200000,,2.132872,,,,,,,0.969911,,,,,,,-2.376989,,,,,,,0.851212,,,,,,,-1.295030,,,,,,,2.500834,,,,,,,0.000000,,,,,,,-0.980430,,,,,,,-2.707568,,,,,,
1.300000,,2.504514,,,,,,,1.005219,,,,,,,-2.684917,,,,,,,0.094740,,,,,,,-1.074212,,,,,,,2.487294,,,,,,,0.000000,,,,,,,-0.982738,,,,,,,-3.082763,,,,,,
1.400000,,2.768259,,,,,,,0.953950,,,,,,,-2.981510,,,,,,,-0.568758,,,,,,,-0.411757,,,,,,,2.311280,,,,,,,0.000000,,,,,,,-0.930876,,,,,,,-3.355298,,,,,,
1.500000,,3.053867,,,,,,,0.720516,,,,,,,-2.656491,,,,,,,-0.818098,,,,,,,-0.369143,,,,,,,1.864475,,,,,,,0.000000,,,,,,,-0.684577,,,,,,,-3.542620,,,,,,
1.600000,,3.143731,,,,,,,0.529469,,,,,,,-2.743239,,,,,,,-0.729350,,,,,,,0.490887,,,,,,,1.302584,,,,,,,0.000000,,,,,,,-0.420603,,,,,,,-3.589716,,,,,,
1.700000,,3.041372,,,,,,,0.404010,,,,,,,-2.453673,,,,,,,-0.437749,,,,,,,0.304935,,,,,,,0.530830,,,,,,,0.000000,,,,,,,-0.160779,,,,,,,-3.472708,,,,,,
1.800000,,2.961315,,,,,,,0.331134,,,,,,,-2.200490,,,,,,,0.170810,,,,,,,1.064240,,,,,,,-0.261233,,,,,,,0.000000,,,,,,,-0.023064,,,,,,,-3.383356,,,,,,
1.900000,,2.661573,,,,,,,0.422773,,,,,,,-2.100427,,,,,,,1.075195,,,,,,,2.129592,,,,,,,-0.870513,,,,,,,0.000000,,,,,,,-0.137386,,,,,,,-2.992120,,,,,,
2.000000,,2.374065,,,,,,,0.649160,,,,,,,-1.909986,,,,,,,1.861250,,,,,,,2.482127,,,,,,,-1.310548,,,,,,,0.000000,,,,,,,-0.337753,,,,,,,-2.598713,,,,,,
2.100000,,1.968258,,,,,,,0.949668,,,,,,,-1.763875,,,,,,,2.516295,,,,,,,2.172206,,,,,,,-1.757353,,,,,,,0.000000,,,,,,,-0.589874,,,,,,,-2.148898,,,,,,
2.200000,,1.620733,,,,,,,1.301055,,,,,,,-1.473127,,,,,,,2.719148,,,,,,,1.912648,,,,,,,-1.872439,,,,,,,0.000000,,,,,,,-0.898240,,,,,,,-1.724392,,,,,,
2.300000,,1.158316,,,,,,,1.703913,,,,,,,-1.500194,,,,,,,2.435999,,,,,,,2.145088,,,,,,,-1.662576,,,,,,,0.000000,,,,,,,-1.257968,,,,,,,-1.274469,,,,,,
2.400000,,0.786486,,,,,,,2.032300,,,,,,,-1.130452,,,,,,,1.945772,,,,,,,1.637593,,,,,,,-1.385016,,,,,,,0.000000,,,,,,,-1.548435,,,,,,,-0.860341,,,,,,
2.500000,,0.492791,,,,,,,2.251164,,,,,,,-0.967566,,,,,,,1.379474,,,,,,,1.726695,,,,,,,-1.053297,,,,,,,0.000000,,,,,,,-1.775792,,,,,,,-0.527106,,,,,,
2.600000,,0.246826,,,,,,,2.427592,,,,,,,-0.749841,,,,,,,0.656811,,,,,,,0.579989,,,,,,,-0.579413,,,,,,,0.000000,,,,,,,-1.911591,,,,,,,-0.206232,,,,,,
2.700000,,0.198289,,,,,,,2.531201,,,,,,,-0.690637,,,,,,,-0.353227,,,,,,,-1.109078,,,,,,,0.002788,,,,,,,0.000000,,,,,,,-1.978072,,,,,,,-0.109872,,,,,,
2.800000,,0.359148,,,,,,,2.475600,,,,,,,-0.504766,,,,,,,-1.337908,,,,,,,-2.275154,,,,,,,0.740693,,,,,,,0.000000,,,,,,,-2.008112,,,,,,,-0.287087,,,,,,
2.900000,,0.687095,,,,,,,2.282925,,,,,,,-0.668085,,,,,,,-2.098606,,,,,,,-1.697927,,,,,,,1.762929,,,,,,,0.000000,,,,,,,-1.991721,,,,,,,-0.605610,,,,,,
3.000000,,0.948702,,,,,,,1.988970,,,,,,,-0.749674,,,,,,,-2.335268,,,,,,,-1.411250,,,,,,,1.938943,,,,,,,0.000000,,,,,,,-1.833094,,,,,,,-0.949069,,,,,,
3.100000,,1.177665,,,,,,,1.690598,,,,,,,-0.865070,,,,,,,-1.963371,,,,,,,-1.310526,,,,,,,1.762929,,,,,,,0.000000,,,,,,,-1.658940,,,,,,,-1.272690,,,,,,
3.200000,,1.325767,,,,,,,1.449793,,,,,,,-1.133615,,,,,,,-1.439335,,,,,,,-1.225298,,,,,,,1.613994,,,,,,,0.000000,,,,,,,-1.488918,,,,,,,-1.496338,,,,,,
3.300000,,1.581070,,,,,,,1.301156,,,,,,,-1.393236,,,,,,,-0.953333,,,,,,,-1.140070,,,,,,,1.370282,,,,,,,0.000000,,,,,,,-1.392528,,,,,,,-1.721056,,,,,,
3.400000,,1.743574,,,,,,,1.214771,,,,,,,-1.700550,,,,,,,-0.433523,,,,,,,-0.442749,,,,,,,0.997944,,,,,,,0.000000,,,,,,,-1.331029,,,,,,,-1.877998,,,,,,
3.500000,,1.775973,,,,,,,1.190669,,,,,,,-1.898097,,,,,,,0.048253,,,,,,,0.153848,,,,,,,0.307428,,,,,,,0.000000,,,,,,,-1.337637,,,,,,,-1.962004,,,,,,
3.600000,,1.699179,,,,,,,1.225111,,,,,,,-2.244716,,,,,,,0.403245,,,,,,,0.657469,,,,,,,-0.288312,,,,,,,0.000000,,,,,,,-1.322578,,,,,,,-1.897353,,,,,,
3.700000,,1.549190,,,,,,,1.350096,,,,,,,-2.190007,,,,,,,0.538480,,,,,,,0.548997,,,,,,,-1.209001,,,,,,,0.000000,,,,,,,-1.359684,,,,,,,-1.747560,,,,,,
3.800000,,1.454671,,,,,,,1.538672,,,,,,,-2.099177,,,,,,,0.504672,,,,,,,0.409533,,,,,,,-1.513641,,,,,,,0.000000,,,,,,,-1.499617,,,,,,,-1.579326,,,,,,
3.900000,,1.336294,,,,,,,1.692663,,,,,,,-1.967165,,,,,,,0.128549,,,,,,,0.444399,,,,,,,-1.676116,,,,,,,0.000000,,,,,,,-1.592597,,,,,,,-1.406244,,,,,,
4.000000,,1.278663,,,,,,,1.740806,,,,,,,-1.702438,,,,,,,-0.446201,,,,,,,0.382415,,,,,,,-1.825051,,,,,,,0.000000,,,,,,,-1.642060,,,,,,,-1.283119,,,,,,
4.100000,,1.097700,,,,,,,1.685265,,,,,,,-1.583560,,,,,,,-1.029403,,,,,,,0.793060,,,,,,,-1.791202,,,,,,,0.000000,,,,,,,-1.608694,,,,,,,-1.161248,,,,,,
4.200000,,0.898697,,,,,,,1.532721,,,,,,,-1.104492,,,,,,,-1.659092,,,,,,,0.773690,,,,,,,-1.919828,,,,,,,0.000000,,,,,,,-1.505303,,,,,,,-0.999408,,,,,,
